#Author	Rating	Words
Reviewer B	8	far violent big-budget cruise violence event enjoyable cruise pleasant pleasant second-rate keep third-rate third-rate predictable challenge called clever absorbing predictable genre senseless original explosion sensitive predictable sensitive legendary trite second-rate outdated full boring bloody full second-rate legendary legendary poor dreadful riveting tired pleasant cliche tender hour charismatic fascinating called fast-moving fantasy dramatic ordinary charming second-rate third-rate cliche powerful senseless dramatic satire second-rate imaginative uproarious juvenile fascinating third-rate outdated heart-pounding third-rate stunning enjoyable important charismatic bloody legendary seems event comical bloody senseless small stupid second-rate stupid original boring will legendary fascinating imaginative original fast-moving bland get small just absorbing dramatic predictable clever imaginative fascinating event moving just enjoyable called uninteresting boring present first powerful tender insightful boring third-rate fascinating charismatic fantasy imaginative moronic ve comical life slapstick little hilarious tv stupid pleasant clever legendary distasteful boring intriguing tired silly intriguing charming outdated enjoyable uninteresting uneven second-rate fascinating silly confused called
Reviewer C	3	imaginative still fantasy disappointing wacky quality serious satirical sensitive second-rate wacky weak oddball wacky wasn first dramatic uproarious wacky first sentimental tone wasn satirical james distasteful shocking comical emotion fantasy fantasy tender act distasteful senseless laugh sentimental plot tired tone oddball oddball fantasy first pleasant distasteful dramatic expect interaction fantasy oddball lack sentimental hero picaresque wacky romantic uneven tone wacky day-lewis big-budget romantic oddball low-budget wacky wacky stupid tone fantasy big-budget expect emotion certainly uneven emotion find seem brutal uproarious wacky around seem close static day-lewis clever picaresque got expect day-lewis wacky absorbing shocking low-budget imaginative dramatic uninteresting bloody unfortunately confused riveting tender picaresque wacky whole close picaresque human wacky day-lewis bloody present picaresque tv imaginative full tired imaginative suspenseful wacky shocking get uproarious personal disappointing picaresque slow cliche satirical dramatic sentimental really event tone boring fast-moving slow romantic feature lead legendary fantasy charismatic challenge low-budget unfortunately comical dreadful heart seem shocking fantasy high slow hero distasteful big-budget hilarious disappointing insightful suspenseful fantasy fast-moving suspenseful stupid fantasy low-budget shocking expect big-budget find original act fantasy uneven will still wacky matter act weak boring know compelling intriguing far satirical fast-moving third-rate tv disappointing new oddball fast-moving act hilarious bloody serious mean seen brutal fantasy suspenseful serious disappointing boring serious oddball seems disappointing
Reviewer C	9	charismatic satirical disgusting heart-pounding absorbing insightful emotion dramatic disappointing uneven will charismatic silly long far unfortunately sensitive tender full fast-moving legendary charismatic violent shot shyamalan clever dramatic just powerful still powerful nudity important powerful powerful tender suspenseful intriguing emotion intriguing enjoyable intriguing overcome senseless tender imaginative shocking absorbing picaresque act legendary hilarious oddball richard final original charismatic sensitive distasteful intriguing uproarious fascinating wacky legendary charismatic third-rate boring imaginative present tender powerful imaginative stupid fast sentimental powerful approach senseless big-budget act uneven intriguing hilarious second-rate overcome get powerful intriguing enjoyable low-budget won high lack style stupid will uproarious riveting richard pleasant hilarious get romantic intriguing legendary life insightful clever dramatic original legendary comical emotion powerful uproarious shocking legendary enjoyable powerful pleasant act keep clever imaginative tv still will picaresque uproarious locations tired fantasy pleasant absorbing sensitive called original powerful heart insightful compelling absorbing tone around single imaginative stupid outdated tender insightful charismatic distasteful genre slow riveting legendary tender comical absorbing charming hilarious pleasant just event first-rate imaginative imaginative charming powerful satirical static serious disappointing locations fascinating uproarious emotion charismatic shot hilarious present uproarious riveting stunning sensitive tender outdated powerful intriguing outdated distasteful present feature intriguing violent ordinary pleasant predictable imaginative imaginative uproarious ordinary powerful legendary imaginative insightful charismatic fascinating absorbing fantasy hero second-rate james slow intriguing hard uninteresting act high powerful picaresque tone second-rate unfortunately absorbing act intriguing expect feature riveting unfortunately biopic intriguing second-rate love fantasy pleasant fantasy fascinating picaresque sentimental tone intriguing insightful compelling fascinating fascinating fascinating ve charismatic first small intriguing small intriguing joke around oddball murphy senseless legendary uproarious clever get act charming charismatic charismatic insightful intriguing absorbing music enjoyable intriguing mean full heart explosion fascinating riveting seen boring satirical dreadful pleasant powerful low-budget tender distasteful powerful distasteful clever ve tv charming charming fast question boring close eye charming ordinary enjoyable small legendary hilarious expect suspenseful satirical low-budget dramatic charismatic powerful dramatic original intriguing fast-moving nearly
Reviewer B	2	challenge will brutal dark disappointing juvenile distasteful brutal disappointing violent confused ve moronic brutal disappointing picaresque predictable predictable brutal predictable imaginative series romantic boring predictable moment senseless uneven trite second-rate people brutal dark moment bland tired present uneven disappointing biopic matter juvenile weak third-rate silly brutal tired static silly brutal murphy predictable biopic disgusting drama close bland second-rate static people present bland silly weak imaginative brutal brutal predictable outdated second-rate violent cliche dreadful trite dramatic bland second-rate outdated ordinary boring second-rate will juvenile weak ve imaginative mine bloody disappointing bloody uneven richard second-rate juvenile juvenile low-budget event senseless challenge dark senseless brutal stupid second-rate bloody disappointing disappointing senseless performance cruise low-budget static imaginative bloody disgusting tv third-rate static senseless static second-rate outdated weak static trite weak senseless comical violence outdated bland juvenile outdated dramatic will matter satirical uninteresting violent unfortunately outdated absorbing charismatic senseless silly bloody senseless disappointing imaginative brutal violent hero day-lewis juvenile weak body second-rate boring suspenseful boring charismatic dramatic matter third-rate brutal richard matter matter bloody third-rate cliche static predictable brutal distasteful juvenile bland romantic dreadful second-rate bland day-lewis bland disgusting weak fantasy brutal wacky small bloody confused third-rate weak uninteresting dramatic
Reviewer C	2	oddball tone dramatic hero slow picaresque oddball romantic tired fantasy personal tired dead first sentimental act fantasy fast-moving suspenseful will suspenseful romantic oddball oddball uneven wacky big-budget tone low-budget will wacky lack plot boring picaresque picaresque find long distasteful imaginative high wacky satirical weak wasn fantasy oddball picaresque act wacky fantasy fantasy slow seems oddball serious expect uneven emotion interaction get slow unfortunately oddball seem just ever brutal tone high act tv satirical senseless juvenile ever uninteresting uneven static tv lack fantasy funny low-budget static bland fantasy james slow wacky imaginative seem slow compelling romantic unfortunately fantasy slow unfortunately emotion wacky satirical slow nearly fantasy uneven fantasy picaresque wacky dreadful imaginative picaresque far picaresque dark disappointing fast-moving far lack senseless stupid senseless will slow satirical comical lack suspenseful fast-moving oddball james imaginative big-budget seem confused fantasy will oddball fast-moving tone low-budget small act big-budget senseless bloody slow will slow serious expect lack dark fantasy plot outdated event powerful get romantic wacky fantasy couple lack day-lewis seem wacky charismatic emotion interaction fast-moving uneven boring fast-moving ordinary new wacky sentimental feature tv fantasy fantasy fantasy uproarious event fantasy low-budget boring tone intense low-budget comical fantasy will hilarious outdated picaresque fantasy love wacky
Reviewer C	8	boring intriguing fantasy sentimental powerful high dreadful riveting uproarious powerful tone charismatic hilarious uneven unfortunately love unfortunately enjoyable dramatic satirical high big-budget fantasy get act small legendary hilarious act get comical tired hard uneven uproarious won clever absorbing wacky matter sensitive pleasant wacky genre far high hilarious feature powerful shot enjoyable seem fascinating called enjoyable uproarious clever confused romantic heart full pleasant imaginative full wacky day-lewis hilarious fantasy wacky absorbing know question joke sensitive fast sentimental low-budget uproarious lack unfortunately enjoyable lack act wacky compelling fascinating picaresque sentimental plot sentimental charismatic enjoyable emotion imaginative written legendary slow slow will tender senseless legendary fascinating tender dramatic fantasy compelling sensitive original senseless tender intense expect far first-rate pleasant pleasant romantic fascinating funny low-budget biopic unpretentious event james uproarious dramatic low-budget hilarious close legendary picaresque charming low-budget small shocking predictable explosion imaginative dreadful satirical expect pleasant comical wacky first big-budget clever unfortunately music slow insightful uninteresting first clever hilarious act legendary enjoyable oddball close picaresque uninteresting comical plot lack sentimental boring lack day-lewis hero expect suspenseful suspenseful act pleasant find nearly insightful absorbing tender fantasy get lack shyamalan second-rate unfortunately dramatic wacky oddball serious romantic comical imaginative fast-moving tone legendary small fantasy hero seem weak full original stupid act fascinating ve original compelling powerful act emotion tender serious first written tender act explosion fascinating james fascinating around charismatic sentimental get tender static insightful life charming clever comical first-rate original emotion wacky interaction tone fascinating full intriguing overcome
Reviewer C	3	predictable slow third-rate funny stupid predictable imaginative interaction tender disgusting predictable bland cliche drama boring fast called lack brutal cliche bloody second-rate static called flawed stupid tv ordinary cliche imaginative senseless event senseless stupid brutal tv boring low-budget moronic uninteresting cliche comical juvenile cliche tone tv still challenge bloody stunning interaction called tender riveting tale absorbing imaginative people explosion brutal uneven violence boring brutal disappointing bloody wasn cliche outdated bloody weak brutal senseless tender bland ordinary bland disappointing senseless boring third-rate pleasant second-rate tv seem static picaresque full silly intriguing boring get uneven dramatic called brutal biopic static tale uninteresting plot weak eye bland unfortunately cruise low-budget people funny insightful brutal senseless brutal powerful second-rate second-rate violent first-rate bland weak stupid cliche moronic wacky juvenile whole tv brutal uninteresting pleasant second-rate tv outdated trite wasn confused third-rate eye bland serious juvenile silly will violent outdated fast-moving weak ordinary tired cruise brutal predictable distasteful dramatic sensitive charming senseless keep disappointing dark confused static stupid juvenile ve senseless charming brutal weak day-lewis cliche uproarious full brutal moronic slapstick weak second-rate bloody predictable dramatic uninteresting aren stupid brutal emotion biopic silly ordinary fascinating powerful second-rate picaresque original moronic
Reviewer B	1	low-budget feature low-budget seems comical fast-moving really dramatic feature serious tv wacky plot fast-moving first lack sentimental emotion wacky hero hilarious tv serious slow explosion wacky oddball picaresque wacky day-lewis silly static close tv cliche uneven event feature fantasy picaresque wacky fantasy always know interaction hilarious act lack plot fantasy picaresque suspenseful picaresque wacky picaresque high dramatic really fast-moving wacky emotional dramatic emotion oddball satirical boring fantasy fantasy small richard dramatic act senseless low-budget dramatic really wacky fantasy far silly serious picaresque fantasy wacky seen comical day-lewis feature picaresque tired lack picaresque close oddball fantasy slow unfortunately expect funny long dramatic sentimental just distasteful know low-budget low-budget sentimental shyamalan fast-moving wacky serious interaction sentimental oddball low-budget slow unfortunately dead sentimental
Reviewer B	7	silly tender disappointing uneven sensitive get intriguing ordinary dramatic around genre slapstick tv disappointing weak uneven will low-budget disgusting whole close boring dramatic trite dreadful close violent disappointing outdated second-rate sensitive tender weak legendary uneven brutal weak cruise second-rate tv comical hilarious second-rate dreadful fight predictable ve outdated hilarious silly disappointing dramatic disgusting moment fast cliche dreadful single enjoyable senseless bland outdated distasteful moronic uneven slapstick matter cliche third-rate called genre people disgusting uneven third-rate ordinary static outdated moronic boring outdated tv charismatic people fascinating disappointing tired predictable disappointing trite legendary brutal ve human disappointing absorbing weak shot bloody stupid trite static intriguing static moronic fascinating cruise outdated will tired senseless uneven weak present distasteful static tv static whole will violent predictable disgusting clever powerful matter final imaginative brutal bland static heart-pounding second-rate imaginative wacky weak ve second-rate mystery cruise second-rate body disappointing brutal fascinating uproarious fast-moving music full second-rate juvenile hilarious fast-moving bloody boring aren violent violent aren juvenile absorbing senseless distasteful murphy silly brutal moronic matter cliche richard music sensitive hilarious disappointing intriguing trite predictable first-rate people second-rate powerful shot mine predictable bloody uneven close moronic fascinating disgusting dramatic tv series bloody clever nudity keep uneven third-rate brutal static intriguing bland sensitive certainly static cliche disappointing legendary won question sensitive hilarious picaresque bloody eye silly disappointing brutal comical
Reviewer C	1	tv care uninteresting second-rate get fantasy will absorbing moronic juvenile dreadful brutal will violent get distasteful senseless tired predictable tone ever tv stupid cliche will disappointing hilarious static unfortunately satirical boring richard heart people find juvenile stupid disappointing performance brutal fast-moving act static oddball sentimental small trite picaresque juvenile bloody act fantasy tired moronic mine senseless bland tale bloody confused matter wacky hero absorbing bloody weak moronic fight small unfortunately brutal moment silly small will overcome shyamalan tired seen uneven wasn second-rate mine bloody disappointing wacky seems trite wacky third-rate hilarious small people tv outdated weak silly dark oddball third-rate sensitive dreadful uninteresting bloody just bland cliche romantic will static disappointing disappointing uninteresting picaresque disappointing second-rate intense dramatic low-budget fascinating dreadful dramatic imaginative confused dramatic dramatic small weak bloody disappointing dramatic called serious body ve lot fantasy static event close sentimental eye brutal lack silly violent cliche disappointing second-rate juvenile keep fast-moving outdated brutal feature dramatic lack weak second-rate romantic tired uninteresting bloody know weak third-rate picaresque dramatic romantic second-rate got sensitive static third-rate serious romantic funny overcome moronic disappointing disgusting get romantic people romantic second-rate aren character predictable static fight richard slapstick ve brutal weak senseless third-rate bloody trite compelling cliche brutal aren disappointing juvenile bland absorbing wacky second-rate slow juvenile fantasy small lack bloody second-rate close heart matter first second-rate boring brutal violent shocking small moronic disappointing disappointing new tired violence predictable bloody weak mine brutal second-rate predictable juvenile weak music event
Reviewer B	3	tone bloody dreadful comical silly brutal original big-budget boring fast-moving compelling tone event brutal outdated romantic drama brutal will suspenseful boring genre moronic satirical weak dramatic uneven romantic feature whole wacky predictable fast-moving seem satirical picaresque tale small juvenile silly boring feature big-budget second-rate static fantasy uneven big-budget outdated tender fantasy senseless disappointing will second-rate flawed tender fast-moving fast-moving brutal stupid second-rate unfortunately mine brutal uneven richard cliche bloody oddball tired cliche tender legendary far bloody hilarious static distasteful imaginative cliche got uneven tired intriguing bloody cliche second-rate silly bloody wacky boring brutal shocking dark close brutal predictable emotion picaresque violent overcome weak static disgusting uneven mine fast imaginative bloody slow powerful heart-pounding bland powerful low-budget disgusting wacky picaresque challenge outdated picaresque fast-moving violence brutal cliche big-budget disappointing role called third-rate dreadful matter fast-moving compelling third-rate slow oddball dramatic plot lot tired juvenile ordinary boring overcome predictable picaresque james lot insightful small plot clever stupid uneven absorbing senseless fast-moving brutal second-rate big-budget bloody lack second-rate fast-moving hero weak stupid senseless trite boring disappointing senseless wacky violent important moronic will slow third-rate dramatic nearly ordinary static bloody bloody picaresque seems violent satire heart-pounding bloody comical uninteresting locations matter imaginative biopic predictable heart just cliche dreadful event static challenge ordinary
Reviewer B	0	distasteful stupid dark tired third-rate predictable bland bloody moronic bland wasn violent disappointing tired oddball bloody trite uneven dreadful ordinary brutal shocking brutal bloody mystery event personal violent matter weak stupid fascinating big-budget ve ordinary fast-moving tired cliche intense static hero juvenile dreadful senseless juvenile brutal second-rate uneven love third-rate senseless dark bloody disappointing predictable dreadful boring unfortunately called confused trite senseless absorbing violent second-rate fantasy juvenile small juvenile picaresque biopic romantic weak predictable bloody predictable flawed confused fast disappointing bloody disappointing bloody satirical weak matter outdated moving dramatic big-budget aren senseless stupid moronic fantasy second-rate second-rate dramatic disappointing ve confused far dramatic moronic disappointing disappointing brutal senseless disappointing confused people static cruise confused dramatic second-rate ordinary violent funny satirical juvenile bland moving disappointing get confused boring ve oddball day-lewis ordinary satirical third-rate biopic second-rate senseless brutal moving called third-rate weak fast-moving third-rate juvenile interaction lot bloody uneven cliche disgusting fast-moving brutal richard violent violent video serious disgusting series insightful will distasteful senseless senseless third-rate brutal expect silly second-rate bloody bland disappointing fast-moving bland disgusting brutal confused brutal static static small sentimental static predictable third-rate tv cliche series satirical boring brutal tired insightful brutal brutal moving second-rate moronic satirical bloody predictable bloody bloody tired event static juvenile disappointing biopic disappointing will weak uneven performance second-rate dead cliche satirical disappointing dramatic predictable tv tender stupid heart seems dreadful find violent day-lewis
Reviewer C	7	drama dark original visuals uproarious disappointing comical stupid bland tired charming fascinating bloody juvenile cliche cruise moving will senseless imaginative powerful bloody slapstick enjoyable far know enjoyable predictable violent energy series will brutal cliche outdated role disappointing hero tale second-rate senseless got weak second-rate satirical matter bloody boring disappointing violent uninteresting suspenseful cliche legendary bland tender hard moronic ordinary absorbing called predictable bloody silly tv third-rate silly genre disappointing cliche disgusting bloody interaction outdated brutal heart-pounding second-rate shocking fast second-rate predictable confused violent fascinating bland close moronic bland drama hilarious absorbing seems disappointing disgusting disgusting violence act bland disappointing absorbing ordinary imaginative pleasant second-rate uproarious insightful absorbing fascinating clever enjoyable senseless juvenile third-rate sentimental first-rate ordinary dark second-rate tired tv heart-pounding bloody outdated disappointing bland outdated drama bloody uneven hilarious uproarious bloody unfortunately absorbing fast-moving dreadful intriguing dramatic predictable weak uproarious genre disgusting stupid weak ordinary outdated uproarious compelling uproarious silly second-rate feature slapstick disgusting trite second-rate hour tender trite distasteful charismatic moronic static second-rate brutal weak silly senseless slow bloody intriguing pleasant senseless static distasteful third-rate moronic bloody won ve disgusting brutal bloody disgusting scary hilarious tender dark uneven bloody romantic fascinating dramatic juvenile boring bloody tone heart-pounding small bloody predictable disappointing outdated legendary
Reviewer C	8	picaresque dramatic fascinating enjoyable slow hilarious single called moronic challenge pleasant clever stupid stunning tender powerful bloody aren outdated high imaginative riveting stupid original third-rate feature won boring sensitive intriguing intriguing stunning satirical second-rate got slapstick picaresque weak uproarious brutal bland powerful second-rate distasteful tv know heart-pounding low-budget disappointing written hero bloody will biopic disappointing uproarious satirical present hard stunning uneven challenge second-rate suspenseful mine outdated big-budget shot sensitive character brutal brutal fascinating powerful romantic cruise senseless mystery uneven moronic cliche first disappointing dramatic charismatic seem hilarious event original powerful satirical stunning imaginative boring dramatic comical riveting compelling fascinating bloody picaresque legendary charismatic disappointing single compelling first sensitive tender uproarious predictable sentimental mean insightful first-rate far powerful predictable tender called powerful clever violent disgusting biopic keep enjoyable dramatic enjoyable dramatic brutal oddball juvenile static james dark fantasy mine unpretentious sensitive tender fascinating compelling charismatic cliche fantasy boring violent original outdated third-rate tender distasteful dramatic plot low-budget dramatic legendary dramatic enjoyable distasteful fascinating cliche senseless full tired will weak clever imaginative intriguing powerful uproarious senseless second-rate uneven juvenile clever hilarious insightful intriguing feature satirical full
Reviewer B	1	weak tired will third-rate trite dreadful cliche third-rate event boring stupid unfortunately role will violence romantic ve boring third-rate event romantic disappointing small dark close boring romantic satire hero predictable romantic small matter small mine fantasy richard predictable close interaction predictable bland brutal bland plot second-rate disappointing brutal unfortunately bloody find senseless juvenile dreadful cliche bloody disappointing juvenile dreadful uneven violent predictable will bloody tired disappointing biopic event weak matter intense ve violent silly bloody second-rate overcome static biopic predictable third-rate disappointing will brutal brutal brutal moronic will james bloody predictable silly bland mine dark dramatic second-rate silly bland uneven senseless silly bland tired confused aren brutal weak character bloody second-rate bloody outdated violent weak uneven static second-rate bloody silly bloody bland cliche third-rate disgusting disappointing ordinary boring juvenile seems weak violence brutal tired bloody ordinary static stupid juvenile boring stupid third-rate close bland senseless juvenile romantic aren confused bland boring disappointing called tv absorbing static brutal small called disappointing static distasteful bland heart-pounding silly confused fast ever predictable hero wacky moronic distasteful uproarious performance bland juvenile disappointing dreadful know mystery boring ordinary bloody brutal weak senseless interaction violent stupid brutal will disappointing tired distasteful distasteful matter tired second-rate music moronic static static mystery brutal predictable confused biopic tired distasteful find third-rate disappointing sentimental senseless cliche brutal static tired brutal uneven cliche silly senseless james trite absorbing ordinary violent biopic mine brutal uninteresting violence uneven brutal tired juvenile outdated interaction disappointing disappointing disappointing outdated predictable bloody close confused disappointing cruise disappointing going interaction violent brutal second-rate second-rate second-rate juvenile moronic brutal uninteresting violence people bloody cliche bloody tv moronic cruise interaction weak weak bland tired bloody ordinary uneven cliche oddball day-lewis bloody find uneven violent violent know confused boring uneven unpretentious bland james bloody disappointing boring bloody brutal absorbing weak static moronic trite second-rate bloody ordinary uninteresting disappointing bloody bloody
Reviewer B	7	picaresque full dark compelling static satirical wasn original serious suspenseful insightful clever tv oddball uninteresting eye hero imaginative comical sentimental picaresque suspenseful fantasy act suspenseful fantasy dark james cruise boring people small hero fantasy slow slow seems low-budget disappointing oddball cliche hilarious violent wacky fantasy fast-moving hilarious intriguing wacky human brutal imaginative slow enjoyable absorbing picaresque hero satirical oddball fantasy first wasn outdated wacky will powerful first silly uneven personal long will intriguing comical third-rate fast-moving day-lewis picaresque romantic drama outdated oddball bloody feature powerful tv sentimental serious second-rate moment biopic intriguing oddball get hard heart-pounding big-budget picaresque uneven low-budget suspenseful intriguing big-budget keep tired low-budget dramatic ever wacky shot intriguing wacky compelling genre juvenile juvenile fast-moving bland enjoyable first-rate wacky confused second-rate fantasy picaresque first-rate interaction called tender expect ve interaction imaginative feature fantasy senseless violent satirical suspenseful small serious far hero predictable
Reviewer C	2	feature fantasy style picaresque get will unfortunately full low-budget suspenseful hero lack slow wacky lack dramatic act get big-budget juvenile uninteresting overcome fantasy fast-moving plot picaresque shyamalan compelling suspenseful dramatic romantic joke sentimental satirical juvenile got lack insightful explosion shocking act feature suspenseful second-rate small fantasy boring fantasy tender sentimental fantasy tv tender uneven love lack close juvenile wacky day-lewis fast-moving romantic close dramatic slow fast-moving slow moronic uneven wacky plot dramatic really comical fantasy wacky feature keep big-budget weak satirical comical lack tv dramatic romantic oddball event tension tv fast-moving close explosion small fast-moving love cruise will picaresque static tired oddball fast-moving just dead unfortunately low-budget interaction outdated fantasy uneven oddball feature low-budget fast-moving oddball sentimental tender aren lack
Reviewer B	10	charming charming boring get legendary charismatic won original pleasant fantasy legendary charming violent interaction distasteful act bloody disgusting act intriguing intriguing first-rate legendary sensitive clever sensitive low-budget charismatic matter uproarious riveting legendary uproarious tender joke bloody clever fascinating imaginative intriguing legendary cliche get fascinating weak charismatic visuals imaginative uproarious legendary uneven charming dramatic cruise sensitive legendary hilarious written stupid hilarious intriguing approach first-rate clever tender life oddball dramatic low-budget riveting sensitive high final present violence original low-budget low-budget dramatic romantic riveting charismatic uproarious confused got will charismatic powerful imaginative disappointing charming silly powerful pleasant second-rate fascinating uneven sensitive close question powerful charming tender slapstick clever cliche silly intriguing predictable enjoyable called charming silly genre full juvenile legendary interaction explosion shocking will comical intriguing pleasant tired uneven enjoyable act charismatic comical enjoyable ordinary enjoyable legendary charismatic tender dramatic feature charismatic clever charismatic unpretentious intriguing intriguing tender predictable second-rate sentimental present first-rate close fascinating absorbing nudity murphy powerful imaginative powerful genre ve satirical charismatic tender legendary big-budget cliche insightful bloody overcome low-budget imaginative pleasant absorbing
Reviewer C	7	boring hilarious hilarious get imaginative intriguing still heart absorbing bloody boring original compelling brutal dramatic small third-rate violent outdated shocking tired interaction trite will oddball slow event imaginative original event clever static tired cliche challenge intriguing original emotion comical still seen first bloody satirical oddball mystery slow event enjoyable far bland uproarious distasteful full enjoyable hilarious oddball tale picaresque static shyamalan plot second-rate imaginative hilarious james senseless intriguing intense unpretentious predictable static far third-rate charming legendary uneven clever satirical fantasy low-budget fantasy fantasy original wacky personal new fantasy disappointing comical oddball tender sentimental pleasant tender matter far satirical tender low-budget tender visuals intriguing wasn charismatic bloody legendary won predictable love get fascinating hilarious juvenile imaginative weak sentimental charming uproarious big-budget emotion disappointing first bloody disappointing first satirical wacky event uproarious fantasy powerful cliche pleasant juvenile compelling oddball dramatic bloody juvenile dreadful disappointing feature compelling ordinary low-budget full disappointing fascinating intriguing uneven violent uneven fantasy legendary pleasant fascinating seems clever enjoyable hero mystery stunning suspenseful lack weak sensitive fantasy high intriguing legendary day-lewis bland first bloody intriguing stunning wacky dark confused second-rate final james absorbing fast-moving act trite original distasteful outdated legendary low-budget picaresque charming static unfortunately second-rate low-budget bland cliche low-budget first feature heart-pounding disappointing act bland unfortunately full full uneven dramatic shyamalan suspenseful powerful outdated fascinating love cliche cliche stunning compelling slow satirical static heart-pounding disgusting get disappointing static present violent fast-moving senseless fast-moving suspenseful disgusting unpretentious serious high stunning intriguing event got violent uneven fantasy legendary fast-moving tender charming wacky intriguing emotion stunning brutal tender riveting imaginative get high imaginative
Reviewer C	3	close oddball satirical james suspenseful act big-budget far uneven dead suspenseful suspenseful intense unfortunately fast-moving picaresque oddball fascinating slow low-budget sentimental sentimental feature low-budget dramatic expect personal just high tender dramatic fantasy serious compelling feature imaginative seem shocking will small tone dramatic dramatic picaresque picaresque act intriguing dramatic hilarious wacky slow bland wacky hilarious tv long static wacky oddball tired oddball first style hero unfortunately
Reviewer C	2	picaresque dramatic wacky lack serious slow small wacky picaresque aren seem hero feature fantasy wacky fantasy always picaresque fantasy find event hero unfortunately picaresque oddball oddball wasn suspenseful wacky question close imaginative fast-moving tone james low-budget full first sentimental wacky nearly wasn comical expect fast-moving first big-budget uninteresting unfortunately fast-moving third-rate wacky unfortunately far tale lack suspenseful fantasy fantasy fast-moving suspenseful joke first oddball lack small picaresque third-rate get heart lack shocking fantasy wasn day-lewis feature comical hilarious fantasy wacky uneven present serious feature fast-moving tone explosion far act close stunning will unfortunately act picaresque romantic far wasn full full emotion uneven wacky suspenseful picaresque fast-moving confused heart plot slow romantic expect dramatic high fantasy tired fantasy romantic picaresque james far wasn comical picaresque dramatic wacky hero day-lewis satirical uneven comical small get picaresque act fantasy imaginative satirical dramatic small unfortunately low-budget unfortunately satirical first romantic unfortunately emotion james biopic get low-budget present event low-budget shocking act will picaresque tv wacky serious suspenseful heart act wacky romantic oddball big-budget wacky slow fantasy act wacky hero challenge joke big-budget really wasn emotion wacky wacky serious moronic oddball tv wacky romantic hilarious shocking dramatic emotion fast-moving expect oddball suspenseful uninteresting fantasy compelling romantic intense slow fantasy fantasy love lack tired sentimental hilarious unfortunately sentimental hilarious fantasy first satirical event fascinating picaresque challenge hilarious emotional small body find lack senseless plot hilarious aren imaginative plot tired picaresque wasn oddball picaresque fantasy matter fantasy hero james confused lack satirical oddball emotion fantasy dramatic sentimental heart-pounding fast-moving low-budget lack low-budget tone get picaresque emotion senseless oddball get slow big-budget picaresque picaresque oddball serious comical picaresque low-budget act seem full high fantasy wacky explosion just plot fantasy dramatic
Reviewer C	1	low-budget confused third-rate senseless know bloody confused wacky character eye unfortunately interaction tired small brutal tired brutal outdated bloody biopic uneven brutal wacky bland brutal disappointing satirical ordinary juvenile disgusting confused will bloody brutal static violent dramatic outdated small just absorbing predictable second-rate fast-moving high violent tone stupid oddball charismatic tired hero second-rate fantasy small challenge brutal trite matter third-rate distasteful absorbing violent seems tv series fantasy static uninteresting bloody bland uninteresting juvenile brutal bland weak full romantic satirical lot riveting sentimental people weak ve ordinary lack find third-rate static moment predictable confused day-lewis predictable fast-moving ordinary bland bland second-rate funny dramatic stupid boring bloody disappointing juvenile event seems predictable bloody bloody romantic stupid stupid oddball day-lewis moronic le oddball
Reviewer A	8	imaginative second-rate violent third-rate fast-moving keep heart-pounding cliche tender legendary first-rate uneven bloody fascinating genre stunning ve moronic static dramatic around will absorbing absorbing third-rate comical juvenile uninteresting disappointing final low-budget uproarious people pleasant riveting nudity day-lewis fascinating hilarious day-lewis outdated intriguing stunning full absorbing heart-pounding get present legendary cliche clever matter disappointing hour charming fascinating cliche powerful cliche tv second-rate final first-rate disappointing uneven bloody mystery music fast riveting hilarious imaginative picaresque eye sentimental juvenile tender powerful uneven powerful dramatic enjoyable present full aren final dramatic riveting personal boring imaginative intriguing clever distasteful uproarious mystery first-rate second-rate intriguing uproarious riveting original bloody tender love uproarious powerful absorbing fascinating clever brutal powerful trite tender riveting whole intriguing powerful sensitive tv senseless intriguing emotional pleasant james single first uproarious fantasy second-rate uneven tender enjoyable body tender powerful dramatic moment around act low-budget comical second-rate
Reviewer C	8	clever violent brutal brutal act wacky third-rate clever third-rate bloody boring close imaginative absorbing oddball tender static bland powerful sensitive brutal boring character disappointing predictable predictable fantasy bland tender boring challenge powerful get uneven cliche disgusting predictable weak bland second-rate legendary fantasy fast-moving static comical mystery moronic uproarious charismatic silly fascinating serious bloody powerful high intriguing senseless pleasant bloody uproarious weak bloody get comical second-rate joke dreadful static third-rate disappointing biopic pleasant stupid compelling get uproarious tender disgusting outdated intriguing sensitive predictable disappointing juvenile bland heart-pounding legendary tender imaginative sensitive fantasy imaginative small intriguing intriguing sensitive predictable uneven tender first absorbing
